Cliente,Venda / Aluguer,NOS / VDF,Report / Projeto / contrato,Técnicos,Intervenção,Motivo,Ação efetuada,Equipamentos,Bundles,Acessórios gastos,faturar,Validação Backoffice,Dados de Canbus via,Pino D8,Movimento Primavera,Armazém de saida de stock,Armazém de Entrada de stock,Equipamento assistido,Garantia Equipamento (1 ano) / Aluguer pago (3 anos),Contas Intranet
Turilux -NOS,venda,NOS,Não,AF,,Validar descarga remota,Realizado reset manual,Bolero LT,T61,Antena C4MAX/FOX3,Não,TC,CL-CAN,Não,Não,AF,AF,Bolero LT,Pago,Frotcom Lusitana
Tractoponte,Aluguer,NOS,Não,BM,Assistência,Validar identificação de condutor,Instalado CL-CAN,Bolero LT2,TB11,Relé 12V,Não aplicável,SP,Não Aplicável,Não aplicável,Sim,BM,BM,Bolero LT2,Sem garantia,Frotcom Lusitana Cancel
RMA,,,Não,RL,Desinfecção Zoono,Validação geral da viatura,Antena substituida,C4MAX,TB21,Relé 24V,?,MA,Direto,Sim,Não aplicável,RL,RL,C4MAX,Com garantia,Frotcom Lusitana RMA
Softvoice,Aluguer,NOS,Não,RN,Desinstalação,Validar Garmin,Cablagem substituida,C4MAX Usados - Pagos,TB31,Diodos,sim,HV,FMS,,,RN,RN,C4MAX Usados - Pagos,Não aplicável,Frotcom Lusitana Refurbished
Ribatejotrans,Aluguer,NOS,Não,PG,Reinstalação,Validar imobilizador,Envio de material - Projecto,FOX3,TB51,Antena GV,,MS,VECU,,,PG,PG,FOX3,Aluguer Novo,Frotcom Lusitana Leasing Assets
Ideia Primordial,Aluguer,NOS,Não,RP,Envio RMA,Validar Sensor de Porta,Acerto de stock,Gv300can - Usados - Pagos,T15,Nenhum,,,,,,Não aplicável,Não aplicável,Gv300can - Usados - Pagos,Laso Pago,Frotcom Lusitana Storage Service
Pigmenterra,Venda,NOS,Não,TC,Recolha de Material,Equipamento não recebe atualizações,Equipamento desligado (condutor / cliente),GL300,TB02,Inventure FMS,,,,,,RP,RP,GL300,Parcialmente pago,Frotcom Lusitana Trash Bin
Costa Melo,Aluguer,NOS,Não,Suporte,Suspensão viaturas,GPS 4G,,EYE Sensor,T17,EYE Sensor,,,,,,LS,LS,FMC150,,
ABH Tours,Venda,NOS,Não,SP,Troca De Viatura,Upgrade para descarga remota,Imobilizador desativado,GV600MG,TB12,Buzzer,,,,,,TC,TC,GV600MG,Retoma / TP TMP,Conta do cliente
ABrito,Venda,NOS,Não,PA,Upgrade,Equipamento sem GPS,Equipamento sem alimentação,GV300,TB22,Cabo Garmin,,,,,,SP,SP,GV300,Lusiaves,Não aplicável
ABTyres,Venda,,Não,LC,Entrega de Material,Validar Can,Vários testes realizados,GV300CAN,TB32,Caixa IP,,,,,,PA,PA,GV300CAN,,Frotcom Lusitana Transit
Fantasy Domain S.A.,Aluguer,NOS,Não,AS,Entrada de Material,Equipamento sem comunicações,Substituição do equipamento,GV608,TB42,Iman retangular,,,,,,LC,LC,GV608,,Frotcom Lusitana- Installation
Aderito,Venda,Vodafone,Não,HV,Informação Técnica,Calhas soltas,Refeitas ligações,GV65,TB52,CL CAN,,,,,,SS,SS,GV65,,
ADNLogico,Venda,NOS,Não,Logistica,TPMS - Instalação - TCP,Ligação da boia de combustivel,Verificação das ligações,GV300 Usados - Pagos,TB62,DR100,,,,,,JM,JM,GV300 Usados - Pagos,,
Livretangente Transportes Unipessoal,Aluguer,NOS,Não,AF,Instalação - Try and Buy,Ligação termografo,,C4EVO,T21,Cartão NOS,,,,,,,AF,Cartão,,
Porfirio investimentos,Aluguer,NOS,Não,LS,Desinstalação Try and Buy,Validar elevatória,Upgrade para V4,FOX3 Usados - Pagos,T19,Ibutton,,,,,,Stock Frotcom,Stock Frotcom,FOX3 Usados - Pagos,,
Avessadas Sag,Venda,NOS,Não,Gonçalo S.,,Validar TPMS,,Step III,T33,Autocolante,,,,,,,,Mio F740s,,
Queijaria Licinia        ,Venda,NOS,Não,JM,Acerto de stock,,,Fox In,T31,Resistência 20K,,,,,,,,Cabo do Mio,,
Beiracargo-Transportes,Aluguer,NOS,Não,SS,Entrega de Material  Try and Buy,,,GV608 Usados - Pagos,NA,Resistência 18K,,,,,,,,ligações,,
Transportes Filipe S. Magalhães,Aluguer,NOS,Não,Rita S.,Envio de material,,,C4MAX V8,TB01,Cartão VDF,,,,,,,,Base Garmin,,
Ecoplan,Venda,NOS,Não,MS,Recolha de Material - Try and Buy,Equipamento com falhas de comunicação,,FMC150,TB41,Resistência 15K,,,,,,,,cablagem,,
Adriano Pereira,Aluguer,NOS,Não,,Entrada de RMA,Falhas de ignição,Cartão trocado,GV65 Usados - Pagos,TB61,Iman (verde / Vermelho),,,,,,Stock Projectos,Stock Projectos,GV65 Usados - Pagos,,
Falagutrans,Venda,NOS,Não,,Instalação,,,Garmin 790,,Cartão Telenor,,,,,,,,Eye Beacon,,
Porta Saber,Venda,NOS,Não,,Anomalia / Avaria,,,Mio F740s,,Eye Beacon,,,,,,,,Eye Sensor,,
Transfradelos - Try and Buy,Venda,NOS,Não,,,,,C4MAX LITE,,Base Garmin,,,,,,,,FMC 650,,
João José Cruz Mendes,Venda,NOS,Não,,,,,Fox EN,,BLE ELA,,,,,,,,C4MAX V8,,
AdvResources,Venda,Vodafone,Não,,,Validar ligações,,Garmin 780,,Novas PENS azuis (Tags),,,,,,RMA,RMA,STEP III,,
afneves,Venda,Vodafone,Não,,,Validar sensor de temperatura,,FMC640,,Ioboxcan,,,,,,A7 - Retoma,A7 - Retoma,FMC640,,
AFrade,Venda,NOS,Não,,,Programação TPMS,,GB100,,Sensor de porta Branco,,,,,,Equip. Pago,Equip. Pago,GB100,,
Destino Soberano - Transportes Lda - Try and Buy,Venda,NOS,Não,,,,,CELLO TRACKER,,GB130,,,,,,,,GV57,,
Agarra O Tempero,Aluguer,,Não,,,Falhas GPS,,FMB202,,Sensor de temperatura,,,,,,Try & Buy,Try & Buy,Fox In,,
Agri Retalho,Aluguer,NOS,Não,,,Erros na viatura,,FMC130,,Sensor de porta Cinza,,,,,,CG,CG,GV608 Usados - Pagos,,
Lux Mundi,Aluguer,NOS,Não,,,,,Fox LT,,Reffeer Cable,,,,,,,,Garmin,,
Tiago Leite,Aluguer,NOS,Não,,,,,Nenhum,,Sensor de porta branco dourado,,,,,,Abate,Abate,C4EVO,,
AVA TRANSPORTES ,Aluguer,NOS,Não,,,,,Garmin 670,,Antena GSM - FMC640,,,,,,,,Fusivel,,
Groundtrans (Hortafina),Aluguer,NOS,Não,,,,,Garmin 770,,Sirene,,,,,,,,CELLO TRACKER,,
Agrovisul,Venda,NOS,Não,,,,,Garmin 790,,Adaptador OBD,,,,,,,,FMB202,,
Agueira GAS,Venda,Vodafone,Não,,,,,Mio F840,,AC100,,,,,,,,FMC130,,
Aguiar & Jesus,Venda,NOS,Não,,,,,C4MAX LITE,,Cablagem IBD-1,,,,,,,,Fox LT,,
Derovo,Aluguer,NOS,Não,,,,,Fox EN,,Cablagem FMC130,,,,,,,,Nenhum,,
Alvo Refrescante,Aluguer,NOS,Não,,,,,BLE ELA Door Sensor,,,,,,,,,,GB130,,
Alvo Solarengo,Aluguer,NOS,Não,,,,,FMC650,,Cablagem FMC640,,,,,,,,Antena C4MAX/FOX3,,
Alfredo Braz,Venda,,Não,,,,,EYE Beacon,,Sirene Vermelha,,,,,,,,Relé 12V,,
Quinta de Jugais,Venda,NOS,Não,,,,,GV620MG,,Antena GPS - FMC640,,,,,,,,Relé 24V,,
